date,temperature_c,humidity_pct,precipitation_mm
2023-12-31,17.1,76.0,0.0
2024-01-07,20.9,60.3,19.47
2024-01-14,21.8,29.3,0.0
2024-01-21,21.9,46.4,0.86
2024-01-28,24.0,45.8,29.25
2024-02-04,20.3,54.2,12.21
2024-02-11,22.0,62.8,0.0
2024-02-18,21.2,10.4,0.0
2024-02-25,20.9,28.0,0.41
2024-03-03,20.4,62.2,25.26
2024-03-10,23.0,13.7,0.0
2024-03-17,21.0,14.2,0.0
2024-03-24,21.4,50.0,1.32
2024-03-31,17.1,80.7,10.75
2024-04-07,15.5,88.5,91.04
2024-04-14,13.6,92.8,21.24
2024-04-21,17.8,47.2,0.0
2024-04-28,15.9,71.1,6.57
2024-05-05,16.1,49.9,0.0
2024-05-12,12.2,39.4,0.0
2024-05-19,14.2,40.4,0.0
2024-05-26,14.9,35.8,0.0
2024-06-02,10.7,89.2,33.35
2024-06-09,7.1,67.8,0.0
2024-06-16,9.0,53.3,0.0
2024-06-23,10.7,47.7,0.0
2024-06-30,12.8,45.4,0.0
2024-07-07,5.4,63.0,0.11
2024-07-14,1.0,69.0,0.0
2024-07-21,4.2,37.3,0.0
2024-07-28,1.5,62.7,0.0
2024-08-04,7.9,51.1,1.1
2024-08-11,7.7,51.8,1.06
2024-08-18,10.3,30.2,0.0
2024-08-25,13.4,27.3,0.0
2024-09-01,15.7,40.8,0.0
2024-09-08,10.2,36.7,0.0
2024-09-15,13.2,21.5,0.06
2024-09-22,11.7,60.4,0.0
2024-09-29,6.1,47.3,0.34
2024-10-06,17.3,19.5,0.0
2024-10-13,24.8,16.5,0.0
2024-10-20,15.5,48.8,0.0
2024-10-27,9.4,45.2,0.17
2024-11-03,24.8,31.3,6.2
2024-11-10,13.8,29.6,4.69
2024-11-17,24.9,19.3,0.0
2024-11-24,26.1,16.4,0.0
2024-12-01,22.6,13.6,0.0
2024-12-08,26.3,15.8,0.0
2024-12-15,25.6,26.2,0.55
2024-12-22,19.8,85.7,17.13
2024-12-29,25.7,49.8,0.16
